Year;Province;Mobil Penumpang;Bus;Truk;Sepeda Motor;Jumlah
2021;Aceh;166570;1103;67817;2089319;2324809
2021;Sumatera Utara;690543;5893;271352;6062939;7030727
2021;Sumatera Barat;278705;4239;135086;2118305;2536335
2021;Riau;367515;6060;207390;3485246;4066211
2021;Jambi;296892;35646;182830;2520112;3035480
2021;Sumatera Selatan;393952;6546;321422;3129275;3851195
2021;Bengkulu;146691;1080;61263;1102024;1311058
2021;Lampung;291889;3060;182364;3330039;3807352
2021;Kepulauan Bangka Belitung;86748;1234;47434;988859;1124275
2021;Kepulauan Riau;149694;2146;27375;894495;1073710
2021;DKI Jakarta;3548304;36486;714278;16734986;21034054
2021;Jawa Barat;3834886;24329;434706;12863918;17157839
2021;Jawa Tengah;1405390;34590;588593;16783247;18811820
2021;DI Yogyakarta;382095;3966;63944;2574060;3024065
2021;Jawa Timur;2022394;38049;762410;20038439;22861292
2021;Banten;252588;3707;82407;2361467;2700169
2021;Bali;467085;9438;154887;3874311;4505721
2021;Nusa Tenggara Barat;100115;2661;75103;1731860;1909739
2021;Nusa Tenggara Timur;88892;4274;73092;1021610;1187868
2021;Kalimantan Barat;152179;1588;100604;2472946;2727317
2021;Kalimantan Tengah;113676;1651;76762;1384220;1576309
2021;Kalimantan Selatan;238537;3127;142263;2408399;2792326
2021;Kalimantan Timur;282455;6389;189748;2703779;3182371
2021;Kalimantan Utara;13668;128;8654;144319;166769
2021;Sulawesi Utara;126881;1389;67705;792797;988772
2021;Sulawesi Tengah;91671;922;50299;1085671;1228563
2021;Sulawesi Selatan;529206;3860;196373;3661385;4390824
2021;Sulawesi Tenggara;188501;522;36771;749638;975432
2021;Gorontalo;50501;423;34646;471287;556857
2021;Sulawesi Barat;20710;37;12408;329916;363071
2021;Maluku;30467;455;13239;306050;350211
2021;Maluku Utara;20954;135;12680;270566;304335
2021;Papua Barat;36863;352;17789;308791;363795
2021;Papua;35877;869;24781;415029;476556
2021;Indonesia;16903094;246354;5438475;121209304;143797227
2020;Aceh;160334;1048;65785;1978138;2205305
2020;Sumatera Utara;658330;5744;261748;5821157;6746979
2020;Sumatera Barat;265241;4034;130326;2022227;2421828
2020;Riau;334144;5136;191490;3253261;3784031
2020;Jambi;162107;35001;130604;1991271;2318983
