Provinsi;2018;2019;2020
ACEH;5243.4;5316.3;5388.1
SUMATERA UTARA;14476.0;14639.4;14798.4
SUMATERA BARAT;5411.8;5479.5;5545.7
RIAU;6717.6;6835.1;6951.2
JAMBI;3527.1;3566.2;3604.2
SUMATERA SELATAN;8391.5;8497.2;8600.8
BENGKULU;1948.6;1971.8;1994.3
LAMPUNG;8377.7;8457.6;8534.8
KEP. BANGKA BELITUNG;1432.1;1451.1;1469.8
KEP. RIAU;2174.8;2241.6;2309.5
DKI JAKARTA;10428.0;10504.1;10576.4
JAWA BARAT;48475.5;49023.2;49565.2
JAWA TENGAH;34358.5;34552.5;34738.2
DI YOGYAKARTA;3818.3;3868.6;3919.2
JAWA TIMUR;39521.9;39744.8;39955.9
BANTEN;12530.8;12714.3;12895.3
BALI;4309.2;4362.0;4414.4
NUSA TENGGARA BARAT;5077.7;5152.4;5225.9
NUSA TENGGARA TIMUR;5360.3;5437.2;5513.4
KALIMANTAN BARAT;4985.1;5045.7;5104.9
KALIMANTAN TENGAH;2612.6;2649.8;2686.3
KALIMANTAN SELATAN;4162.4;4216.3;4268.6
KALIMANTAN TIMUR;3573.8;3619.7;3664.7
KALIMANTAN UTARA;682.8;695.6;708.4
SULAWESI UTARA;2474.4;2494.1;2512.9
SULAWESI TENGAH;3001.9;3042.1;3081.7
SULAWESI SELATAN;8748.1;8819.5;8888.8
SULAWESI TENGGARA;2623.6;2663.7;2703.5
GORONTALO;1166.1;1176.4;1186.3
SULAWESI BARAT;1340.1;1359.2;1378.1
MALUKU;1749.5;1768.5;1787.1
MALUKU UTARA;1218.8;1235.7;1252.3
PAPUA BARAT;941.4;963.6;986.0
PAPUA;3300.2;3347.1;3393.1
INDONESIA;264161.6;266911.9;269603.4
;;;
;;;
;;;
