Provinsi;2018;2019;2020
ACEH;2619.9;2656.1;2691.8
SUMATERA UTARA;7229.4;7312.2;7392.7
SUMATERA BARAT;2692.6;2727.0;2760.6
RIAU;3440.0;3497.0;3553.2
JAMBI;1795.2;1813.5;1831.3
SUMATERA SELATAN;4257.1;4308.1;4358.0
BENGKULU;993.6;1004.5;1015.2
LAMPUNG;4289.9;4327.8;4364.3
KEP. BANGKA BELITUNG;739.9;748.5;756.9
KEP. RIAU;1111.0;1144.7;1179.0
DKI JAKARTA;5212.6;5241.1;5267.8
JAWA BARAT;24576.5;24845.4;25111.2
JAWA TENGAH;17048.2;17144.9;17237.3
DI YOGYAKARTA;1887.3;1911.3;1935.4
JAWA TIMUR;19510.0;19619.2;19722.2
BANTEN;6381.1;6470.2;6557.9
BALI;2169.3;2195.4;2221.4
NUSA TENGGARA BARAT;2480.8;2522.6;2563.9
NUSA TENGGARA TIMUR;2655.5;2693.7;2731.6
KALIMANTAN BARAT;2534.6;2563.4;2591.4
KALIMANTAN TENGAH;1359.1;1377.2;1394.9
KALIMANTAN SELATAN;2105.2;2131.4;2156.7
KALIMANTAN TIMUR;1861.5;1882.5;1902.9
KALIMANTAN UTARA;361.8;368.0;374.1
SULAWESI UTARA;1261.4;1270.7;1279.6
SULAWESI TENGAH;1528.2;1546.8;1565.1
SULAWESI SELATAN;4277.1;4313.4;4348.5
SULAWESI TENGGARA;1314.6;1333.8;1352.9
GORONTALO;583.8;588.8;593.5
SULAWESI BARAT;673.3;682.8;692.2
MALUKU;882.2;891.4;900.4
MALUKU UTARA;621.2;629.3;637.3
PAPUA BARAT;494.9;506.4;518.1
PAPUA;1734.0;1756.1;1777.7
INDONESIA;132683.0;134025.6;135337.0
;;;
;;;
;;;
;;;
