Provinsi;2018;2019;2020
ACEH;2623.5;2660.2;2696.3
SUMATERA UTARA;7246.5;7327.2;7405.7
SUMATERA BARAT;2719.3;2752.5;2785.1
RIAU;3277.6;3338.1;3398.0
JAMBI;1731.9;1752.7;1772.9
SUMATERA SELATAN;4134.4;4189.1;4242.8
BENGKULU;955.0;967.2;979.1
LAMPUNG;4087.8;4129.8;4170.6
KEP. BANGKA BELITUNG;692.1;702.6;712.9
KEP. RIAU;1063.8;1096.9;1130.5
DKI JAKARTA;5215.4;5262.9;5308.6
JAWA BARAT;23899.0;24177.7;24454.0
JAWA TENGAH;17310.2;17407.6;17500.9
DI YOGYAKARTA;1931.0;1957.3;1983.8
JAWA TIMUR;20011.9;20125.6;20233.7
BANTEN;6149.7;6244.1;6337.4
BALI;2139.9;2166.6;2193.1
NUSA TENGGARA BARAT;2596.9;2629.8;2662.0
NUSA TENGGARA TIMUR;2704.7;2743.5;2781.8
KALIMANTAN BARAT;2450.5;2482.3;2513.5
KALIMANTAN TENGAH;1253.5;1272.6;1291.4
KALIMANTAN SELATAN;2057.1;2084.9;2111.9
KALIMANTAN TIMUR;1712.3;1737.2;1761.8
KALIMANTAN UTARA;321.0;327.6;334.2
SULAWESI UTARA;1213.0;1223.4;1233.4
SULAWESI TENGAH;1473.8;1495.3;1516.6
SULAWESI SELATAN;4471.0;4506.2;4540.3
SULAWESI TENGGARA;1309.0;1329.8;1350.6
GORONTALO;582.3;587.6;592.8
SULAWESI BARAT;666.8;676.4;686.0
MALUKU;867.3;877.1;886.7
MALUKU UTARA;597.5;606.3;615.0
PAPUA BARAT;446.5;457.2;468.0
PAPUA;1566.2;1591.0;1615.4
INDONESIA;131478.7;132886.3;134266.4
;;;
;;;
;;;
